2012,,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,
,,,,,,,,,,,,,,,,,,,
,Cowboys,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Dolphins,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Eagles,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Falcons,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WR2 Victor Cruz WK 16-17,Giants,,,,,,,,,,,,,,,,23W,20W,
,,,,,,,,,,,,,,,,,,,
,Jaguars,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WR3 Jeremy Kerley WK 2-3,Jets,,10L,27W,,,,,,26W,14L,,,,,,,,
TE1 Jeff Cumberland WK 9-10,,,,,,,,,,,,,,,,,,,
,Lions,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
RB1 Eddie Lacy WK 3-4,Packers,,,30L,BYE,22W,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Panthers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WR1 Danny Amendola WK 7-8,Patriots,,,,,,,27L,27W,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
QB1 Terrelle Pryor WK 4-5,Raiders,,,,14L,27W,,,,,,,,,27L,31L,,,
RB2 Rashad Jennings WK 14-15,,,,,,,,,,,,,,,,,,,
,Rams,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ravens,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Saints,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Seahawks,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Steelers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Texans,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TE1 Delanie Walker WK 14-15,Titans,,,,,,,,,,,,,,28L,34L,,,
,,,,,,,,,,,,,,,,,,,
TE1 John Carlson WK 15-17,Vikings,,,,,,,,31L,23L,34W,20L,26T,23W,26L,48W,14L,14W,
,,,,,,,,,,,,,,,,,,,
,49ers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,
,Bears,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Bengals,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Bills,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WR4 Cody Latimer WK 14-16,Broncos,,,,,,,,,,,,,,24W,22W,28L,,
,,,,,,,,,,,,,,,,,,,
TE1 Jordan Cameron WK 9-14,Browns,,,,,,,,,22W,24W,7L,26W,10L,24L,,,,
,,,,,,,,,,,,,,,,,,,
,Buccaneers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Cardinals,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
RB3 Donald Brown WK 6-8,Chargers,,,,,,31W,20L,21L,,,,,,,10L,38W,,
TE2 Ladarius Green WK 15-16,,,,,,,,,,,,,,,,,,,
WR3 Junior Hemingway WK 13-15,Chiefs,,,,,,,,,,,,,16L,14L,31W,,,
,,,,,,,,,,,,,,,,,,,
,Colts,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Commanders,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Cowboys,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Dolphins,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Eagles,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Falcons,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Giants,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Jaguars,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TE1 Jace Amaro WK 13-15 ,Jets,,,,,,,,,,,,,13L,24L,,,,
,,,,,,,,,,,,,,,,,,,
,Lions,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Packers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Panthers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WR1 Julian Edelman WK 16-17,Patriots,,,,,,,,,,,,,,,,17W,9L,
,,,,,,,,,,,,,,,,,,,
,Raiders,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Rams,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ravens,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Saints,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Seahawks,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Steelers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WR1 Andre Johnson WK 15-16,Texans,,,,,,,,,,,,,,,10L,25W,,
,,,,,,,,,,,,,,,,,,,
TE1 Delanie Walker WK 11-12,Titans,,,,,,,,,,,24L,24L,,,,,,
,,,,,,,,,,,,,,,,,,,
RB3 Matt Asiata WK 12-13,Vikings,,,,,,,,,,,,21L,31W,,,,,
,,,,,,,,,,,,,,,,,,,
,49ers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2012,No Head Injury,Head Injury,Wins/No Injury,Wins/Injury,,,,,,,,,,,,,,,
Bears,26,16,9,2,,,,,,,,,,,,,,,
Bills,21,16,,,,,,,,,,,,,,,,,
Browns,17,15,,,,,,,,,,,,,,,,,
Cardinals,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Eagles,16,19,3,1,,,,,,,,,,,,,,,
